model,seed,label,recall
ecapa-tdnn,42,Mandarin,0.9949469429004548
ecapa-tdnn,42,东北,0.4793388429752066
ecapa-tdnn,42,东南,0.6142857142857143
ecapa-tdnn,42,北京,0.3046594982078853
ecapa-tdnn,42,西南,0.7786811201445348
ecapa-tdnn,42,广东,0.819634703196347
ecapa-tdnn,42,河南,0.75
w2v2-en-b,43,Mandarin,0.9605861546235472
w2v2-en-b,43,东北,0.18181818181818182
w2v2-en-b,43,东南,0.825
w2v2-en-b,43,北京,0.3548387096774194
w2v2-en-b,43,西南,0.5420054200542005
w2v2-en-b,43,广东,0.4292237442922374
w2v2-en-b,43,河南,0.4696261682242991
w2v2-zh-b,43,Mandarin,0.9954522486104093
w2v2-zh-b,43,东北,0.6528925619834711
w2v2-zh-b,43,东南,0.8821428571428571
w2v2-zh-b,43,北京,0.3118279569892473
w2v2-zh-b,43,西南,0.5149051490514905
w2v2-zh-b,43,广东,0.5525114155251142
w2v2-zh-b,43,河南,0.5607476635514018
hubert-en-b,43,Mandarin,0.9994946942900454
hubert-en-b,43,东北,0.49173553719008267
hubert-en-b,43,东南,0.8321428571428572
hubert-en-b,43,北京,0.6093189964157706
hubert-en-b,43,西南,0.8319783197831978
hubert-en-b,43,广东,0.7602739726027398
hubert-en-b,43,河南,0.7616822429906542
hubert-zh-b,42,Mandarin,1.0
hubert-zh-b,42,东北,0.6198347107438017
hubert-zh-b,42,东南,0.9178571428571428
hubert-zh-b,42,北京,0.7956989247311828
hubert-zh-b,42,西南,0.8672086720867209
hubert-zh-b,42,广东,0.7899543378995434
hubert-zh-b,42,河南,0.8753894080996885
wavlm-b,44,Mandarin,1.0
wavlm-b,44,东北,0.5082644628099173
wavlm-b,44,东南,0.7785714285714286
wavlm-b,44,北京,0.7670250896057348
wavlm-b,44,西南,0.7570009033423668
wavlm-b,44,广东,0.6689497716894978
wavlm-b,44,河南,0.780373831775701
data2vec-audio-b,43,Mandarin,0.9979787771601819
data2vec-audio-b,43,东北,0.2644628099173554
data2vec-audio-b,43,东南,0.8714285714285714
data2vec-audio-b,43,北京,0.43010752688172044
data2vec-audio-b,43,西南,0.5880758807588076
data2vec-audio-b,43,广东,0.6415525114155252
data2vec-audio-b,43,河南,0.6012461059190031
unispeech-sat-b,44,Mandarin,0.9994946942900454
unispeech-sat-b,44,东北,0.4256198347107438
unispeech-sat-b,44,东南,0.5321428571428571
unispeech-sat-b,44,北京,0.7992831541218638
unispeech-sat-b,44,西南,0.7931345980126467
unispeech-sat-b,44,广东,0.7785388127853882
unispeech-sat-b,44,河南,0.7344236760124611
whisper-base,44,Mandarin,1.0
whisper-base,44,东北,0.371900826446281
whisper-base,44,东南,0.9642857142857143
whisper-base,44,北京,0.7562724014336918
whisper-base,44,西南,0.8084914182475158
whisper-base,44,广东,0.7534246575342466
whisper-base,44,河南,0.8021806853582555
resnet-voxceleb,44,Mandarin,1.0
resnet-voxceleb,44,东北,0.45867768595041325
resnet-voxceleb,44,东南,0.26785714285714285
resnet-voxceleb,44,北京,0.6415770609318996
resnet-voxceleb,44,西南,0.90063233965673
resnet-voxceleb,44,广东,0.8333333333333334
resnet-voxceleb,44,河南,0.8426791277258567
rawnet3,43,Mandarin,0.9984840828701365
rawnet3,43,东北,0.45041322314049587
rawnet3,43,东南,0.7642857142857142
rawnet3,43,北京,0.8207885304659498
rawnet3,43,西南,0.8048780487804879
rawnet3,43,广东,0.7945205479452054
rawnet3,43,河南,0.8512461059190031
xvect-voxceleb,43,Mandarin,1.0
xvect-voxceleb,43,东北,0.8553719008264463
xvect-voxceleb,43,东南,0.5785714285714286
xvect-voxceleb,43,北京,0.5555555555555556
xvect-voxceleb,43,西南,0.7877145438121048
xvect-voxceleb,43,广东,0.8835616438356164
xvect-voxceleb,43,河南,0.7390965732087228
