model,seed,acc,mf1,uar,roc_auc,pr_auc,eer
data2vec-audio-b,42,0.9011695906432748,0.650723474611915,0.7394013669922468,0.8769262668374791,0.2745304178267561,0.18408113091579595
data2vec-audio-b,43,0.9008771929824562,0.6465950273105613,0.7306725364889182,0.8770984367710548,0.2757788266567129,0.18500307314074985
data2vec-audio-b,44,0.8997076023391812,0.6474068899722298,0.7357746906495064,0.8754082093586392,0.2740958060533142,0.18623232944068838
ecapa-tdnn,42,0.9596491228070175,0.7579091425769268,0.7329736894720862,0.9332702660673424,0.5285385308632916,0.13253012048192772
ecapa-tdnn,43,0.9713450292397661,0.8302536976899187,0.8020045763879118,0.9359527847098289,0.6986026327634587,0.13253012048192772
ecapa-tdnn,44,0.9599415204678362,0.7541451988420362,0.7245521730437423,0.927049932983316,0.5628258612241334,0.13855421686746988
hubert-en-b,42,0.9584795321637427,0.7790211113922161,0.7838101021171349,0.9415214638517191,0.5452328805377151,0.13253012048192772
hubert-en-b,43,0.9453216374269006,0.7463711933767958,0.7883291000510956,0.9327185817640569,0.4791955451839557,0.13253012048192772
hubert-en-b,44,0.9558479532163743,0.7669752034939731,0.7738520153138677,0.9438911145503958,0.520542170124652,0.12845728334357714
hubert-zh-b,42,0.9578947368421052,0.7855093369290832,0.8035115261291015,0.9274016780089009,0.6525073005103654,0.14457831325301204
hubert-zh-b,43,0.968421052631579,0.8280687054880603,0.8261935264104976,0.927646048237202,0.7134339130176708,0.14720344191763982
hubert-zh-b,44,0.9611111111111111,0.8045024689697204,0.8280688827837472,0.924352604023963,0.6881315703204268,0.14658881376767055
rawnet3,42,0.9473684210526315,0.7479771853030905,0.7808295258477055,0.9485471079153739,0.5790772684911115,0.11401352181929933
rawnet3,43,0.9508771929824561,0.7659442724458204,0.8026821483845646,0.95157581771462,0.6097155210503324,0.1047940995697603
rawnet3,44,0.9461988304093567,0.7461663568773234,0.783073288853015,0.9484637998829984,0.5632446911416817,0.10725261216963737
resnet-voxceleb,42,0.9614035087719298,0.799085327318592,0.8110721928895669,0.9069597381535978,0.652983797228396,0.1686746987951807
resnet-voxceleb,43,0.9625730994152046,0.8008077623817159,0.8059700387289785,0.9102309668915366,0.6556359991905306,0.1686746987951807
resnet-voxceleb,44,0.960233918128655,0.7941232710816496,0.8075991735843189,0.8996434416214335,0.6480082739427806,0.1686746987951807
unispeech-sat-b,42,0.9251461988304094,0.6929857167103128,0.7577180263771743,0.9380206752023459,0.34802356324014855,0.1144578313253012
unispeech-sat-b,43,0.927485380116959,0.6949288613353553,0.7532305003665554,0.9399460163950207,0.36615981620460036,0.11278426551936079
unispeech-sat-b,44,0.9304093567251462,0.7157579787234043,0.7890677646048236,0.940207048229797,0.38414201835518075,0.11893054701905348
w2v2-en-b,42,0.9058479532163742,0.6406526752978245,0.7047007945734999,0.8604571944816759,0.2752910422309613,0.21084337349397592
w2v2-en-b,43,0.9055555555555556,0.6415972486961318,0.7074055286912864,0.8609848120200532,0.275538156391231,0.2095881991395206
w2v2-en-b,44,0.9055555555555556,0.6374501586684779,0.69883035522545,0.8602554039143667,0.27374573263398744,0.21020282728948986
w2v2-zh-b,42,0.9073099415204678,0.700936714077524,0.8512470286801787,0.9215386438192846,0.37847007303465924,0.12048192771084337
w2v2-zh-b,43,0.9154970760233918,0.7059820069484128,0.8298239053324545,0.9205278396931301,0.3772544275015102,0.12048192771084337
w2v2-zh-b,44,0.9064327485380117,0.6966794380587484,0.8422108841018654,0.9210406469146407,0.3721008256554945,0.12048192771084337
wavlm-b,42,0.9239766081871345,0.6920387230481932,0.7599617893824838,0.9339774586977289,0.33990717737494874,0.12415488629379226
wavlm-b,43,0.9345029239766082,0.6969159872385678,0.7311927488688621,0.9295954561947853,0.3483820427774297,0.13644744929317762
wavlm-b,44,0.9330409356725147,0.7101908341440327,0.7647251575447457,0.9361749394628296,0.3900982549538658,0.12968653964351567
whisper-base,42,0.9195906432748538,0.6708858367530762,0.7290730222673114,0.9153275671832999,0.2893203492192175,0.14904732636754764
whisper-base,43,0.9309941520467836,0.6760172829317401,0.7036233440214453,0.9019075688124347,0.3600078594307269,0.1668715427166564
whisper-base,44,0.9298245614035088,0.6656346749226006,0.6887167600950823,0.9068875378588724,0.3574819321446147,0.16265060240963855
xvect-voxceleb,42,0.9614035087719298,0.7490723056844484,0.7081701112995312,0.9587245725372294,0.6168693127607846,0.10633066994468347
xvect-voxceleb,43,0.9614035087719298,0.769908256880734,0.7453291963181552,0.9562716138061775,0.6147081051831706,0.10240963855421686
xvect-voxceleb,44,0.9494152046783626,0.7359574254443217,0.7447460400915278,0.9449444983375418,0.5208439870190367,0.10817455439459127
