model,acc,mf1,uar,roc_auc,pr_auc,eer
data2vec-audio-b,0.9006±0.0006,0.6482±0.0018,0.7353±0.0036,0.8765±0.0008,0.2748±0.0007,0.1851±0.0009
ecapa-tdnn,0.9636±0.0054,0.7808±0.0350,0.7532±0.0347,0.9321±0.0037,0.5967±0.0734,0.1345±0.0028
hubert-en-b,0.9532±0.0057,0.7641±0.0135,0.7820±0.0060,0.9394±0.0048,0.5150±0.0272,0.1312±0.0019
hubert-zh-b,0.9625±0.0044,0.8060±0.0174,0.8193±0.0112,0.9265±0.0015,0.6847±0.0250,0.1461±0.0011
rawnet3,0.9481±0.0020,0.7534±0.0089,0.7889±0.0098,0.9495±0.0014,0.5840±0.0193,0.1087±0.0039
resnet-voxceleb,0.9614±0.0010,0.7980±0.0028,0.8082±0.0021,0.9056±0.0044,0.6522±0.0032,0.1687±0.0000
unispeech-sat-b,0.9277±0.0022,0.7012±0.0103,0.7667±0.0159,0.9394±0.0010,0.3661±0.0147,0.1154±0.0026
w2v2-en-b,0.9057±0.0001,0.6399±0.0018,0.7036±0.0036,0.8606±0.0003,0.2749±0.0008,0.2102±0.0005
w2v2-zh-b,0.9097±0.0041,0.7012±0.0038,0.8411±0.0088,0.9210±0.0004,0.3759±0.0028,0.1205±0.0000
wavlm-b,0.9305±0.0047,0.6997±0.0077,0.7520±0.0148,0.9332±0.0027,0.3595±0.0219,0.1301±0.0050
whisper-base,0.9268±0.0051,0.6708±0.0042,0.7071±0.0167,0.9080±0.0055,0.3356±0.0327,0.1595±0.0076
xvect-voxceleb,0.9574±0.0057,0.7516±0.0140,0.7327±0.0174,0.9533±0.0060,0.5841±0.0448,0.1056±0.0024
