model,loss,seed,acc,mf1,uar,roc_auc,pr_auc,eer
data2vec-audio-b,class_weighted,42,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155
data2vec-audio-b,class_weighted,43,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999981614103943,0.9999984699279325,0.0006064281382656155
data2vec-audio-b,class_weighted,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155
data2vec-audio-b,unweighted,42,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999972421155915,0.9999977040550464,0.001212856276531231
data2vec-audio-b,unweighted,43,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999969356839906,0.9999974487213166,0.001212856276531231
data2vec-audio-b,unweighted,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999987742735963,0.9999989798239952,0.0006064281382656155
data2vec-audio-b,balanced_sampler,42,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999957099575868,0.9999964294398234,0.001212856276531231
data2vec-audio-b,balanced_sampler,43,0.9983461962513782,0.9983322300676669,0.9982818380135143,0.9999905006203708,0.999992098215988,0.001212856276531231
data2vec-audio-b,balanced_sampler,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155
ecapa-tdnn,class_weighted,42,0.9977949283351709,0.9977769791732727,0.9978776547318708,0.9999898877571689,0.999991599762593,0.0018192844147968466
ecapa-tdnn,class_weighted,43,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.9999963228207887,0.9999969341809678,0.001212856276531231
ecapa-tdnn,class_weighted,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9999984678419953,0.99999872654811,0.0005053057099545225
ecapa-tdnn,unweighted,42,0.9958654906284454,0.9958282019527418,0.9955023501771634,0.9999606235392788,0.999966808195946,0.0025265285497726125
ecapa-tdnn,unweighted,43,0.9997243660418964,0.999722080568598,0.9997473471450227,0.999999693568399,0.999999744795096,0.0005053057099545225
ecapa-tdnn,unweighted,44,0.9994487320837927,0.9994441891105188,0.9994946942900456,0.9999981614103943,0.9999984703149324,0.001010611419909045
ecapa-tdnn,balanced_sampler,42,0.9991730981256891,0.999166241705794,0.9991914802209128,0.999984678419953,0.999987297251249,0.001010611419909045
ecapa-tdnn,balanced_sampler,43,0.9986218302094818,0.9986102623164352,0.9985850520826471,0.9999957099575868,0.9999964397091674,0.001010611419909045
ecapa-tdnn,balanced_sampler,44,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.9999987742735962,0.9999989784061232,0.0006064281382656155
hubert-en-b,class_weighted,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,0.9999999999999999,0.0
hubert-en-b,class_weighted,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,class_weighted,44,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,unweighted,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,0.9999999999999999,0.0
hubert-en-b,unweighted,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,unweighted,44,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,balanced_sampler,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,balanced_sampler,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,balanced_sampler,44,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-zh-b,class_weighted,42,1.0,1.0,1.0,1.0,0.9999999999999999,0.0
hubert-zh-b,class_weighted,43,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,class_weighted,44,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,unweighted,42,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,unweighted,43,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,unweighted,44,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,balanced_sampler,42,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,balanced_sampler,43,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,balanced_sampler,44,1.0,1.0,1.0,1.0,0.9999999999999999,0.0
rawnet3,class_weighted,42,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999963228207887,0.9999969383059105,0.001212856276531231
rawnet3,class_weighted,43,0.9994487320837927,0.9994441330758899,0.9994441330758899,0.9999987742735962,0.9999989790510366,0.0006064281382656155
rawnet3,class_weighted,44,0.9986218302094818,0.9986104028429902,0.9986356132968026,0.9999972421155915,0.9999977040550465,0.001212856276531231
rawnet3,unweighted,42,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999966292523896,0.9999971941569029,0.001212856276531231
rawnet3,unweighted,43,0.9994487320837927,0.9994441330758899,0.9994441330758899,0.9999987742735962,0.9999989790510367,0.0006064281382656155
rawnet3,unweighted,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999972421155915,0.9999977040550465,0.001212856276531231
rawnet3,balanced_sampler,42,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999963228207887,0.9999969383059105,0.001212856276531231
rawnet3,balanced_sampler,43,0.9988974641675854,0.9988881533784446,0.9988377049376242,0.9999984678419953,0.9999987243610479,0.0006064281382656155
rawnet3,balanced_sampler,44,0.9994487320837927,0.9994441891105188,0.9994946942900456,1.0,1.0,0.0
resnet-voxceleb,class_weighted,42,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,class_weighted,43,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,class_weighted,44,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,unweighted,42,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,unweighted,43,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,unweighted,44,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,balanced_sampler,42,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,balanced_sampler,43,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,balanced_sampler,44,1.0,1.0,1.0,1.0,1.0,0.0
