model,loss,acc,mf1,uar,roc_auc,pr_auc,eer
data2vec-audio-b,class_weighted,0.9992±0.0000,0.9992±0.0000,0.9991±0.0000,1.0000±0.0000,1.0000±0.0000,0.0006±0.0000
data2vec-audio-b,unweighted,0.9992±0.0000,0.9992±0.0000,0.9991±0.0000,1.0000±0.0000,1.0000±0.0000,0.0010±0.0003
data2vec-audio-b,balanced_sampler,0.9989±0.0004,0.9989±0.0004,0.9989±0.0004,1.0000±0.0000,1.0000±0.0000,0.0010±0.0003
ecapa-tdnn,class_weighted,0.9990±0.0009,0.9990±0.0009,0.9990±0.0008,1.0000±0.0000,1.0000±0.0000,0.0012±0.0005
ecapa-tdnn,unweighted,0.9983±0.0018,0.9983±0.0018,0.9982±0.0019,1.0000±0.0000,1.0000±0.0000,0.0013±0.0009
ecapa-tdnn,balanced_sampler,0.9991±0.0003,0.9991±0.0003,0.9991±0.0003,1.0000±0.0000,1.0000±0.0000,0.0009±0.0002
hubert-en-b,class_weighted,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
hubert-en-b,unweighted,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
hubert-en-b,balanced_sampler,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
hubert-zh-b,class_weighted,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
hubert-zh-b,unweighted,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
hubert-zh-b,balanced_sampler,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
rawnet3,class_weighted,0.9990±0.0003,0.9990±0.0003,0.9990±0.0003,1.0000±0.0000,1.0000±0.0000,0.0010±0.0003
rawnet3,unweighted,0.9992±0.0002,0.9992±0.0002,0.9992±0.0002,1.0000±0.0000,1.0000±0.0000,0.0010±0.0003
rawnet3,balanced_sampler,0.9991±0.0003,0.9991±0.0003,0.9991±0.0003,1.0000±0.0000,1.0000±0.0000,0.0006±0.0005
resnet-voxceleb,class_weighted,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
resnet-voxceleb,unweighted,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
resnet-voxceleb,balanced_sampler,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
unispeech-sat-b,class_weighted,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,0.9999±0.0000,0.9999±0.0000,0.0005±0.0000
unispeech-sat-b,unweighted,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,0.9999±0.0000,0.9999±0.0000,0.0005±0.0000
unispeech-sat-b,balanced_sampler,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,0.9999±0.0000,0.9999±0.0000,0.0005±0.0000
w2v2-en-b,class_weighted,0.9761±0.0011,0.9759±0.0011,0.9756±0.0010,0.9979±0.0001,0.9982±0.0001,0.0252±0.0003
w2v2-en-b,unweighted,0.9761±0.0008,0.9759±0.0008,0.9754±0.0007,0.9979±0.0001,0.9982±0.0001,0.0253±0.0001
w2v2-en-b,balanced_sampler,0.9761±0.0001,0.9759±0.0001,0.9755±0.0000,0.9979±0.0000,0.9983±0.0000,0.0251±0.0003
w2v2-zh-b,class_weighted,0.9988±0.0001,0.9988±0.0001,0.9988±0.0002,1.0000±0.0000,1.0000±0.0000,0.0012±0.0000
w2v2-zh-b,unweighted,0.9986±0.0000,0.9986±0.0000,0.9986±0.0000,1.0000±0.0000,1.0000±0.0000,0.0012±0.0000
w2v2-zh-b,balanced_sampler,0.9984±0.0001,0.9984±0.0001,0.9984±0.0001,1.0000±0.0000,1.0000±0.0000,0.0017±0.0001
wavlm-b,class_weighted,0.9992±0.0002,0.9992±0.0002,0.9991±0.0002,1.0000±0.0000,1.0000±0.0000,0.0005±0.0000
wavlm-b,unweighted,0.9993±0.0001,0.9993±0.0001,0.9992±0.0001,1.0000±0.0000,1.0000±0.0000,0.0005±0.0000
wavlm-b,balanced_sampler,0.9992±0.0002,0.9992±0.0002,0.9991±0.0002,1.0000±0.0000,1.0000±0.0000,0.0005±0.0000
whisper-base,class_weighted,0.9999±0.0001,0.9999±0.0001,0.9999±0.0001,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
whisper-base,unweighted,0.9999±0.0001,0.9999±0.0001,0.9999±0.0001,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
whisper-base,balanced_sampler,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
xvect-voxceleb,class_weighted,0.9997±0.0002,0.9997±0.0002,0.9997±0.0002,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
xvect-voxceleb,unweighted,0.9999±0.0001,0.9999±0.0001,0.9999±0.0001,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
xvect-voxceleb,balanced_sampler,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
