model,seed,acc,mf1,uar,roc_auc,pr_auc,eer
data2vec-audio-b,42,0.9983330246341915,0.9982061205876376,0.9984713024771801,0.9999838952273727,0.9999721428386374,0.0015159171298635675
data2vec-audio-b,43,0.9981478051491017,0.9980065892213594,0.9982186496222027,0.999980940223221,0.9999670663505646,0.0015159171298635675
data2vec-audio-b,44,0.9981478051491017,0.9980065892213594,0.9982186496222027,0.9999802014721831,0.9999657880539716,0.0015159171298635675
ecapa-tdnn,42,0.9875902944989813,0.9867093486554648,0.9893530461660298,0.9995410878552284,0.9989355500411575,0.009600808489135927
ecapa-tdnn,43,0.9872198555288016,0.9863154063176125,0.9890606485052111,0.9983086294986244,0.994502615346012,0.009064327485380117
ecapa-tdnn,44,0.9861085386182626,0.9851435427105949,0.9885028175964587,0.9996361651138119,0.9993438823042515,0.00808489135927236
hubert-en-b,42,0.9992591220596406,0.9992024663127325,0.9993087506537947,0.9998915513476296,0.999768287791698,0.0005053057099545225
hubert-en-b,43,0.9987034636043712,0.9986047604570514,0.9988701541625666,0.9998138347384379,0.9995025674388236,0.0005053057099545225
hubert-en-b,44,0.9990739025745509,0.9990031887988479,0.9991625518233853,0.9998476695359757,0.9996331958199884,0.0005053057099545225
hubert-zh-b,42,0.9994443415447305,0.9994019132793086,0.9995614035087719,0.9999998522497925,0.9999997447950961,0.00029239766081871346
hubert-zh-b,43,0.998888683089461,0.9988039535328157,0.9990163529929759,0.9999989657485469,0.9999982189627544,0.0005053057099545225
hubert-zh-b,44,0.998888683089461,0.9988042071355101,0.9991228070175439,0.9999994089991696,0.9999989807247404,0.0005053057099545225
rawnet3,42,0.9951842933876643,0.9948291109845899,0.9961988304093568,0.9998688716907648,0.99975893204094,0.004547751389590703
rawnet3,43,0.9938877569920356,0.993433519819793,0.9945367144490838,0.9997956614629044,0.9996167301491438,0.005053057099545225
rawnet3,44,0.9949990739025746,0.9946296705974714,0.9959461775543794,0.9998688716907648,0.9997609454242371,0.004547751389590703
resnet-voxceleb,42,0.9985182441192814,0.9984059470369333,0.9988304093567251,0.9999937944912812,0.9999892102602659,0.0005847953216374269
resnet-voxceleb,43,0.998888683089461,0.9988042071355101,0.9991228070175439,0.9999948287427344,0.9999910177479462,0.0005847953216374269
resnet-voxceleb,44,0.9987034636043712,0.9986050560581585,0.9989766081871345,0.9999971927460558,0.9999951315271247,0.0005053057099545225
unispeech-sat-b,42,0.9990739025745509,0.9990031887988479,0.9991625518233853,0.9998643653094332,0.9998386520149901,0.0005053057099545225
unispeech-sat-b,43,0.9985182441192814,0.9984056095140136,0.9987239553321572,0.9998670248131698,0.9998406900541936,0.0005847953216374269
unispeech-sat-b,44,0.9983330246341915,0.9982065006462038,0.9985777565017478,0.9998702753177369,0.999842077628731,0.0011695906432748538
w2v2-en-b,42,0.9640674198925727,0.961659590655331,0.9659953635984859,0.9952446595687467,0.9913235632156956,0.033855482566953005
w2v2-en-b,43,0.9655491757732914,0.9630770988843425,0.9652487817995384,0.9948652370356581,0.9905683940065538,0.0347953216374269
w2v2-en-b,44,0.9655491757732914,0.9631223647657726,0.9658875059469458,0.9950610060607135,0.9909553933159528,0.034210526315789476
w2v2-zh-b,42,0.9896277088349694,0.988890260715682,0.9914935034233723,0.9998210744986097,0.999689658244429,0.005847953216374269
w2v2-zh-b,43,0.9918503426560474,0.9912601516541535,0.9932478893882846,0.9998636265583953,0.9997639088910018,0.004678362573099415
w2v2-zh-b,44,0.9903685867753288,0.9896795874128814,0.9920782987450097,0.9998801745816454,0.9997928161033303,0.004678362573099415
wavlm-b,42,0.9996295610298204,0.9996012331563663,0.9997076023391813,1.0,1.0,0.0
wavlm-b,43,0.9994443415447305,0.9994017861320973,0.999454949484204,0.9999997044995848,0.9999994898478446,0.0005053057099545225
wavlm-b,44,0.9994443415447305,0.9994017861320973,0.999454949484204,0.9999997044995848,0.9999994898478446,0.0005053057099545225
whisper-base,42,1.0,1.0,1.0,1.0,1.0,0.0
whisper-base,43,0.9998147805149101,0.999800552917995,0.9997473471450227,0.9999998522497925,0.999999744795096,0.00029239766081871346
whisper-base,44,0.9998147805149101,0.999800552917995,0.9997473471450227,1.0,1.0,0.0
xvect-voxceleb,42,0.9990739025745509,0.9990023388400262,0.9987367357251137,1.0,1.0,0.0
xvect-voxceleb,43,0.9994443415447305,0.9994017861320973,0.999454949484204,0.9999992612489621,0.99999872654811,0.0005053057099545225
xvect-voxceleb,44,0.9994443415447305,0.9994015311447116,0.9992420414350682,0.9999997044995849,0.9999994894612355,0.00029239766081871346
