model,acc,mf1,uar,roc_auc,pr_auc,eer
data2vec-audio-b,0.9982±0.0001,0.9981±0.0001,0.9983±0.0001,1.0000±0.0000,1.0000±0.0000,0.0015±0.0000
ecapa-tdnn,0.9870±0.0006,0.9861±0.0007,0.9890±0.0004,0.9992±0.0006,0.9976±0.0022,0.0089±0.0006
hubert-en-b,0.9990±0.0002,0.9989±0.0002,0.9991±0.0002,0.9999±0.0000,0.9996±0.0001,0.0005±0.0000
hubert-zh-b,0.9991±0.0003,0.9990±0.0003,0.9992±0.0002,1.0000±0.0000,1.0000±0.0000,0.0004±0.0001
rawnet3,0.9947±0.0006,0.9943±0.0006,0.9956±0.0007,0.9998±0.0000,0.9997±0.0001,0.0047±0.0002
resnet-voxceleb,0.9987±0.0002,0.9986±0.0002,0.9990±0.0001,1.0000±0.0000,1.0000±0.0000,0.0006±0.0000
unispeech-sat-b,0.9986±0.0003,0.9985±0.0003,0.9988±0.0002,0.9999±0.0000,0.9998±0.0000,0.0008±0.0003
w2v2-en-b,0.9651±0.0007,0.9626±0.0007,0.9657±0.0003,0.9951±0.0002,0.9909±0.0003,0.0343±0.0004
w2v2-zh-b,0.9906±0.0009,0.9899±0.0010,0.9923±0.0007,0.9999±0.0000,0.9997±0.0000,0.0051±0.0006
wavlm-b,0.9995±0.0001,0.9995±0.0001,0.9995±0.0001,1.0000±0.0000,1.0000±0.0000,0.0003±0.0002
whisper-base,0.9999±0.0001,0.9999±0.0001,0.9998±0.0001,1.0000±0.0000,1.0000±0.0000,0.0001±0.0001
xvect-voxceleb,0.9993±0.0002,0.9993±0.0002,0.9991±0.0003,1.0000±0.0000,1.0000±0.0000,0.0003±0.0002
