model,head,seed,acc,mf1,uar,roc_auc,pr_auc,eer,delta_mf1,delta_uar,eta_mf1,eta_uar,pli_mf1,pli_uar
data2vec-audio-b,linear,42,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155,,,,,,
data2vec-audio-b,mlp,42,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9999990807051972,0.9999992351578557,0.0005053057099545225,,,,,,
data2vec-audio-b,derived,42,,,,,,,0.0005559231787368724,0.0006064281382656134,0.9993439600990169,0.9992934640069979,0.9985106645229015,0.9984349899853976
data2vec-audio-b,linear,43,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999981614103943,0.9999984699279325,0.0006064281382656155,,,,,,
data2vec-audio-b,mlp,43,0.9994487320837927,0.9994441330758899,0.9994441330758899,0.999999693568399,0.999999744795096,0.0005053057099545225,,,,,,
data2vec-audio-b,derived,43,,,,,,,0.0002779756860287197,0.0003032140691328067,0.9996218519287732,0.9995966020350777,0.998788324634609,0.9987378675933593
data2vec-audio-b,linear,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155,,,,,,
data2vec-audio-b,mlp,44,0.9994487320837927,0.9994441330758899,0.9994441330758899,0.9999990807051972,0.9999992351578557,0.0005053057099545225,,,,,,
data2vec-audio-b,derived,44,,,,,,,0.0002779756860287197,0.0003032140691328067,0.9996218519287732,0.9995966020350777,0.998788324634609,0.9987378675933593
ecapa-tdnn,linear,42,0.9977949283351709,0.9977769791732727,0.9978776547318708,0.9999898877571689,0.999991599762593,0.0018192844147968466,,,,,,
ecapa-tdnn,mlp,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0,,,,,,
ecapa-tdnn,derived,42,,,,,,,0.0019451013953253327,0.0018696924131518244,0.9979545346766474,0.9980300068617713,0.9957360609619342,0.9959118425992574
ecapa-tdnn,linear,43,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.9999963228207887,0.9999969341809678,0.001212856276531231,,,,,,
ecapa-tdnn,mlp,43,0.9997243660418964,0.999722052463287,0.9996967859308672,1.0,1.0,0.0,,,,,,
ecapa-tdnn,derived,43,,,,,,,0.0002779757740647426,0.0003032140691328067,0.9996219569541065,0.999596703975441,0.9990662438062705,0.9989905204072327
ecapa-tdnn,linear,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9999984678419953,0.99999872654811,0.0005053057099545225,,,,,,
ecapa-tdnn,mlp,44,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
ecapa-tdnn,derived,44,,,,,,,0.00027791943140198505,0.00025265285497733103,0.9996221183567624,0.999647382406782,0.9993443039460118,0.9993948186416464
hubert-en-b,linear,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,0.9999999999999999,0.0,,,,,,
hubert-en-b,mlp,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0,,,,,,
hubert-en-b,derived,42,,,,,,,0.0,0.0,0.9998999822048907,0.9998999847323838,0.9996220905703775,0.9996473571465495
hubert-en-b,linear,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0,,,,,,
hubert-en-b,mlp,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0,,,,,,
hubert-en-b,derived,43,,,,,,,0.0,0.0,0.9998999822048907,0.9998999847323838,0.9996220905703775,0.9996473571465495
hubert-en-b,linear,44,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0,,,,,,
hubert-en-b,mlp,44,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0,,,,,,
hubert-en-b,derived,44,,,,,,,0.0,0.0,0.9998999822048907,0.9998999847323838,0.9996220905703775,0.9996473571465495
hubert-zh-b,linear,42,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,,,,,,
hubert-zh-b,mlp,42,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,
hubert-zh-b,derived,42,,,,,,,0.0,0.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001
