model,head,seed,acc,mf1,uar,roc_auc,pr_auc,eer,delta_mf1,delta_uar,eta_mf1,eta_uar,pli_mf1,pli_uar
data2vec-audio-b,linear,,0.9992±0.0000,0.9992±0.0000,0.9991±0.0000,1.0000±0.0000,1.0000±0.0000,0.0006±0.0000,,,,,,
data2vec-audio-b,mlp,,0.9995±0.0001,0.9995±0.0001,0.9995±0.0001,1.0000±0.0000,1.0000±0.0000,0.0005±0.0000,,,,,,
data2vec-audio-b,pli_derived,,,,,,,,0.0004±0.0001,0.0004±0.0001,0.9995±0.0001,0.9995±0.0001,0.9987±0.0001,0.9986±0.0001
ecapa-tdnn,linear,,0.9990±0.0009,0.9990±0.0009,0.9990±0.0008,1.0000±0.0000,1.0000±0.0000,0.0012±0.0005,,,,,,
ecapa-tdnn,mlp,,0.9998±0.0001,0.9998±0.0001,0.9998±0.0001,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000,,,,,,
ecapa-tdnn,pli_derived,,,,,,,,0.0008±0.0008,0.0008±0.0008,0.9991±0.0008,0.9991±0.0008,0.9980±0.0016,0.9981±0.0016
hubert-en-b,linear,,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000,,,,,,
hubert-en-b,mlp,,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000,,,,,,
hubert-en-b,pli_derived,,,,,,,,0.0000±0.0000,0.0000±0.0000,0.9999±0.0000,0.9999±0.0000,0.9996±0.0000,0.9996±0.0000
hubert-zh-b,linear,,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000,,,,,,
hubert-zh-b,mlp,,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000,,,,,,
hubert-zh-b,pli_derived,,,,,,,,0.0000±0.0000,0.0000±0.0000,0.9999±0.0000,0.9999±0.0000,0.9999±0.0000,0.9999±0.0000
rawnet3,linear,,0.9990±0.0003,0.9990±0.0003,0.9990±0.0003,1.0000±0.0000,1.0000±0.0000,0.0010±0.0003,,,,,,
rawnet3,mlp,,0.9996±0.0001,0.9996±0.0001,0.9997±0.0001,1.0000±0.0000,1.0000±0.0000,0.0002±0.0002,,,,,,
rawnet3,pli_derived,,,,,,,,0.0006±0.0003,0.0007±0.0003,0.9993±0.0003,0.9992±0.0003,0.9982±0.0006,0.9982±0.0006
resnet-voxceleb,linear,,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000,,,,,,
resnet-voxceleb,mlp,,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000,,,,,,
resnet-voxceleb,pli_derived,,,,,,,,0.0000±0.0000,0.0000±0.0000,0.9999±0.0000,0.9999±0.0000,0.9999±0.0000,0.9999±0.0000
unispeech-sat-b,linear,,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,0.9999±0.0000,0.9999±0.0000,0.0005±0.0000,,,,,,
unispeech-sat-b,mlp,,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,0.9999±0.0000,0.9999±0.0000,0.0005±0.0000,,,,,,
unispeech-sat-b,pli_derived,,,,,,,,0.0000±0.0000,0.0000±0.0000,0.9999±0.0000,0.9999±0.0000,0.9996±0.0000,0.9996±0.0000
w2v2-en-b,linear,,0.9761±0.0011,0.9759±0.0011,0.9756±0.0010,0.9979±0.0001,0.9982±0.0001,0.0252±0.0003,,,,,,
w2v2-en-b,mlp,,0.9870±0.0009,0.9869±0.0009,0.9873±0.0009,0.9994±0.0001,0.9995±0.0001,0.0105±0.0027,,,,,,
w2v2-en-b,pli_derived,,,,,,,,0.0110±0.0017,0.0117±0.0016,0.9888±0.0017,0.9880±0.0016,0.9650±0.0027,0.9639±0.0025
w2v2-zh-b,linear,,0.9988±0.0001,0.9988±0.0001,0.9988±0.0002,1.0000±0.0000,1.0000±0.0000,0.0012±0.0000,,,,,,
w2v2-zh-b,mlp,,0.9992±0.0002,0.9992±0.0002,0.9992±0.0002,1.0000±0.0000,1.0000±0.0000,0.0007±0.0002,,,,,,
w2v2-zh-b,pli_derived,,,,,,,,0.0004±0.0003,0.0005±0.0003,0.9995±0.0003,0.9994±0.0003,0.9983±0.0005,0.9982±0.0005
wavlm-b,linear,,0.9992±0.0002,0.9992±0.0002,0.9991±0.0002,1.0000±0.0000,1.0000±0.0000,0.0005±0.0000,,,,,,
wavlm-b,mlp,,0.9993±0.0005,0.9993±0.0005,0.9992±0.0005,1.0000±0.0000,1.0000±0.0000,0.0004±0.0003,,,,,,
