model,acc,mf1,uar,roc_auc,pr_auc,eer
data2vec-audio-b,0.9992±0.0000,0.9992±0.0000,0.9991±0.0000,1.0000±0.0000,1.0000±0.0000,0.0006±0.0000
ecapa-tdnn,0.9990±0.0009,0.9990±0.0009,0.9990±0.0008,1.0000±0.0000,1.0000±0.0000,0.0012±0.0005
hubert-en-b,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
hubert-zh-b,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
rawnet3,0.9990±0.0003,0.9990±0.0003,0.9990±0.0003,1.0000±0.0000,1.0000±0.0000,0.0010±0.0003
resnet-voxceleb,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
unispeech-sat-b,0.9997±0.0000,0.9997±0.0000,0.9997±0.0000,0.9999±0.0000,0.9999±0.0000,0.0005±0.0000
w2v2-en-b,0.9761±0.0011,0.9759±0.0011,0.9756±0.0010,0.9979±0.0001,0.9982±0.0001,0.0252±0.0003
w2v2-zh-b,0.9988±0.0001,0.9988±0.0001,0.9988±0.0002,1.0000±0.0000,1.0000±0.0000,0.0012±0.0000
wavlm-b,0.9992±0.0002,0.9992±0.0002,0.9991±0.0002,1.0000±0.0000,1.0000±0.0000,0.0005±0.0000
whisper-base,0.9999±0.0001,0.9999±0.0001,0.9999±0.0001,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
xvect-voxceleb,0.9997±0.0002,0.9997±0.0002,0.9997±0.0002,1.0000±0.0000,1.0000±0.0000,0.0000±0.0000
