model,head,seed,acc,mprec,mrec,mf1,wf1,uar,delta_mf1,delta_uar,eta_mf1,eta_uar,pli_mf1,pli_uar
ecapa-tdnn,linear,42,0.806917,0.717843,0.677364,0.682167,0.809547,0.677364,,,,,,
ecapa-tdnn,mlp,42,0.860581,0.780326,0.681123,0.681996,0.841912,0.681123,,,,,,
ecapa-tdnn,derived,42,,,,,,,-0.000171,0.003759,1.000104,0.994335,0.682067,0.673527
ecapa-tdnn,linear,43,0.808522,0.679571,0.678299,0.668124,0.801587,0.678299,,,,,,
ecapa-tdnn,mlp,43,0.876449,0.732671,0.725108,0.723542,0.869080,0.725108,,,,,,
ecapa-tdnn,derived,43,,,,,,,0.055419,0.046809,0.923279,0.935316,0.616865,0.634424
ecapa-tdnn,linear,44,0.809770,0.758648,0.678823,0.695906,0.807881,0.678823,,,,,,
ecapa-tdnn,mlp,44,0.869852,0.731747,0.709906,0.701065,0.854833,0.709906,,,,,,
ecapa-tdnn,derived,44,,,,,,,0.005160,0.031083,0.992499,0.956080,0.690686,0.649009
hubert-zh-b,linear,42,0.898199,0.850321,0.837992,0.840827,0.898660,0.837992,,,,,,
hubert-zh-b,mlp,42,0.934748,0.911300,0.895657,0.902523,0.935003,0.895657,,,,,,
hubert-zh-b,derived,42,,,,,,,0.061696,0.057665,0.931537,0.935512,0.783262,0.783952
hubert-zh-b,linear,43,0.892316,0.844519,0.833273,0.832415,0.893528,0.833273,,,,,,
hubert-zh-b,mlp,43,0.872526,0.846035,0.833872,0.825801,0.880202,0.833872,,,,,,
hubert-zh-b,derived,43,,,,,,,-0.006614,0.000600,1.007887,0.999161,0.832315,0.832574
hubert-zh-b,linear,44,0.888929,0.841130,0.830319,0.829248,0.890112,0.830319,,,,,,
hubert-zh-b,mlp,44,0.902122,0.863015,0.860779,0.856053,0.905040,0.860779,,,,,,
hubert-zh-b,derived,44,,,,,,,0.026805,0.030460,0.968575,0.964502,0.803189,0.800844
